,股票简称,昨收,前连板,昨封单,昨开,昨首停,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
603324.SH,盛剑环境,7.31519012,4,,-7.199382358618035,2021-07-09 10:28:00,20210709,False,True,-5.3237,0.4179,0.8135,-8.9886,1.9588,-2.6848098800000004,-8.00850988
000920.SZ,沃顿科技,10.0,2,6582071.0,2.651113467656416,2021-07-09 14:20:27,20210709,False,False,6.6538,-10.0,-9.3467,1.9956,0.6522,0.0,6.6538
605011.SH,杭州热电,10.0,8,7809296.0,9.994222992489894,2021-07-12 09:30:00,20210712,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
000920.SZ,沃顿科技,6.65380906,3,,10.028929604628745,2021-07-12 09:30:00,20210712,True,False,-10.0,-9.3467,1.9956,0.6522,1.1879,-3.3461909399999996,-22.692890939999998
002280.SZ,联络互动,10.0,3,20113337.0,9.963099630996293,2021-07-12 09:30:00,20210712,True,False,-2.5727,-9.2997,-0.7595,-1.2755,8.0103,0.0,-2.5727
605162.SH,新中港,10.0,3,9958312.0,10.028382213812682,2021-07-12 09:30:00,20210712,True,False,10.0,10.0,10.0,10.0,-0.1762,0.0,39.8238
000551.SZ,创元科技,1.62679426,2,,10.04784688995216,2021-07-12 09:30:00,20210712,True,False,-4.1431,9.8232,-10.0,2.1869,10.0,-8.37320574,-12.51630574
002895.SZ,川恒股份,8.41916704,2,,7.344379758172865,2021-07-12 09:33:30,20210712,False,True,-5.0392,-4.3932,0.091,2.5455,-10.0,-1.5808329600000004,-6.6200329600000005
000017.SZ,深中华A,5.7208238,2,,-3.4324942791762094,2021-07-12 09:57:13,20210712,False,False,-7.7922,-4.2254,1.7157,-3.6145,2.0,-4.2791762,-12.0713762
603171.SH,税友股份,10.0,8,1824058.0,1.5503875968992393,2021-07-12 10:30:10,20210712,False,False,10.0,10.0,10.0,-9.7298,10.0,0.0,20.270200000000003
002850.SZ,科达利,10.0,2,70150.0,0.4976450724251331,2021-07-12 11:09:31,20210712,False,False,10.0,-6.1766,-2.0665,-2.4938,-5.7136,0.0,3.8234000000000004
603171.SH,税友股份,10.0,9,3587034.0,10.012150668286766,2021-07-13 09:30:00,20210713,True,False,10.0,10.0,-9.7298,10.0,-8.2353,0.0,10.2702
605011.SH,杭州热电,10.0,9,8104928.0,9.978991596638668,2021-07-13 09:30:00,20210713,True,False,10.0,10.0,10.0,-10.0,-10.0,0.0,10.0
605162.SH,新中港,10.0,4,9455685.0,9.974204643164216,2021-07-13 09:30:00,20210713,True,False,10.0,10.0,10.0,-0.1762,-10.0,0.0,29.8238
605020.SH,永和股份,10.0,2,17691680.0,10.01821493624772,2021-07-13 09:30:00,20210713,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002943.SZ,宇晶股份,10.0,2,5474275.0,2.0408163265306207,2021-07-13 10:36:37,20210713,False,True,-10.0,-5.79,-2.9167,-2.4678,5.8856,0.0,-15.79
002850.SZ,科达利,10.0,3,46550.0,1.7692680562287912,2021-07-13 14:44:16,20210713,False,False,-6.1766,-2.0665,-2.4938,-5.7136,-1.6693,0.0,-6.1766
600746.SH,江苏索普,10.0,2,25299.0,3.815489749430534,2021-07-13 14:45:47,20210713,False,False,4.0373,-1.99,-0.9137,1.2295,0.3543,0.0,4.0373
605011.SH,杭州热电,10.0,10,9125174.0,9.980897803247373,2021-07-14 09:30:00,20210714,True,False,10.0,10.0,-10.0,-10.0,-5.1418,0.0,-5.1418
605162.SH,新中港,10.0,5,7687066.0,10.007818608287735,2021-07-14 09:30:00,20210714,True,False,10.0,10.0,-0.1762,-10.0,-8.4314,0.0,19.8238
605020.SH,永和股份,10.0,3,15419818.0,10.016556291390721,2021-07-14 09:30:00,20210714,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
605028.SH,世茂能源,10.0,2,6542237.0,10.01780943900267,2021-07-14 09:30:00,20210714,True,False,10.0,10.0,10.0,-10.0,-8.3108,0.0,11.6892
603171.SH,税友股份,10.0,10,1710252.0,7.79765849348353,2021-07-14 09:32:45,20210714,False,True,10.0,-9.7298,10.0,-8.2353,-6.5505,0.0,0.2702000000000009
002140.SZ,东华科技,10.0,2,4430578.0,8.571428571428584,2021-07-14 09:34:15,20210714,False,False,10.0,10.0,-1.2386,-4.7659,4.1264,0.0,18.761400000000002
600746.SH,江苏索普,4.03726708,3,,-3.002070393374751,2021-07-14 11:00:30,20210714,False,False,-1.99,-0.9137,1.2295,0.3543,2.8744,-5.96273292,-7.95273292
000004.SZ,国华网安,0.70671378,2,,-2.826855123674914,2021-07-14 14:06:21,20210714,False,False,0.9649,1.2598,10.0,1.2871,-0.9626,-9.29328622,-8.32838622
605011.SH,杭州热电,10.0,11,3297571.0,9.986973512809366,2021-07-15 09:30:00,20210715,True,False,10.0,-10.0,-10.0,-5.1418,-3.6916,0.0,-15.1418
605162.SH,新中港,10.0,6,9128283.0,10.021321961620469,2021-07-15 09:30:00,20210715,True,False,10.0,-0.1762,-10.0,-8.4314,-9.7787,0.0,9.8238
605020.SH,永和股份,10.0,4,11641794.0,10.007524454477052,2021-07-15 09:30:00,20210715,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
