,Unnamed: 0,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
372,000422.SZ,湖北宜化,2021-02-26 09:31:00,-5.06329114,3,,2.531645569620244,20210226,False,True,4.5333,-5.102,1.6129,-5.0265,-0.8357,-15.06329114,-10.52999114
382,002647.SZ,仁东控股,2021-03-01 09:45:44,10.0,3,11747500.0,5.369127516778528,20210301,False,True,4.0976,10.0,10.0,10.0,10.0,0.0,4.0976
389,601038.SH,一拖股份,2021-03-02 09:33:30,10.0,2,6352200.0,5.169340463458111,20210302,False,True,10.0,10.0,1.4735,3.5644,-10.0,0.0,21.4735
393,002494.SZ,华斯股份,2021-03-03 09:30:15,10.0,2,29101548.0,8.353221957040564,20210303,False,True,-7.1584,2.8037,-10.0,-10.101,-3.3708,0.0,-7.1584
399,002658.SZ,雪迪龙,2021-03-04 09:32:00,10.0,2,7107157.0,2.0804438280166484,20210304,False,True,3.5309,-4.7503,-10.0,-2.5568,4.6647,0.0,3.5309
405,603126.SH,中材节能,2021-03-05 09:31:45,10.0,5,6729143.0,8.229988726042846,20210305,False,True,10.0,-10.0,-4.5502,10.0,10.0,0.0,-4.5502
411,603126.SH,中材节能,2021-03-08 09:45:17,10.0,6,6143650.0,4.50819672131147,20210308,False,True,-10.0,-4.5502,10.0,10.0,0.0,0.0,-14.5502
415,600169.SH,太原重工,2021-03-09 09:30:45,10.10452962,2,1771273.0,5.226480836236931,20210309,False,True,-10.1266,-3.8732,1.4652,-3.2491,3.7313,0.1045296199999992,-13.89527038
423,002836.SZ,新宏泽,2021-03-10 09:30:30,2.75229358,2,,5.504587155963299,20210310,False,True,0.1786,5.1693,-10.0,-4.8964,-2.2772,-7.24770642,-7.06910642
435,600702.SH,舍得酒业,2021-03-12 11:26:00,5.00394633,2,507398.0,0.6629834254143673,20210312,False,True,1.8942,1.5344,-2.8189,4.994,3.2185,-4.99605367,-3.10185367
438,600307.SH,酒钢宏兴,2021-03-15 09:30:15,6.82926829,2,,10.243902439024389,20210315,False,True,-4.1096,-7.1429,1.5385,-3.5354,-1.0471,-3.17073171,-7.28033171
445,002366.SZ,台海核电,2021-03-16 09:35:31,10.0,3,21061500.0,-0.9090909090909098,20210316,False,True,10.0,-4.1353,1.7647,4.0462,-8.3333,0.0,5.8647
