,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
003031.SZ,中瓷电子,2021-01-07 09:30:00,10.0,3,4055029.0,9.996242014280346,20210107,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000718.SZ,苏宁环球,2021-01-07 09:30:15,10.0,2,23406912.0,7.5609756097561105,20210107,False,True,-2.8825,10.0,-6.8465,-9.5768,-7.1429,0.0,-2.8825
002342.SZ,巨力索具,2021-01-07 09:31:45,10.0,5,13205646.0,6.797853309481214,20210107,False,False,-4.5528,-10.0,10.0,10.0,-10.0,0.0,-4.5528
600655.SH,豫园股份,2021-01-07 09:54:24,10.0,4,4731758.0,4.729729729729734,20210107,False,False,10.0,-2.8631,-2.0129,4.2553,-10.0,0.0,7.1369
002192.SZ,融捷股份,2021-01-07 10:40:30,4.99367889,3,200500.0,2.149178255372937,20210107,False,False,-3.6725,-5.0,4.6053,-4.9895,-5.0088,-5.00632111,-8.67882111
605179.SH,一鸣食品,2021-01-07 10:53:17,10.0,7,1204020.0,3.785623139089736,20210107,False,False,-10.0,-10.0,-1.1461,5.0242,-9.7056,0.0,-21.1461
003026.SZ,中晶科技,2021-01-08 09:30:00,10.0,14,2257971.0,10.005792064871121,20210108,True,False,8.5823,5.5522,10.0,10.0,-5.1348,0.0,8.5823
003031.SZ,中瓷电子,2021-01-08 09:30:00,10.0,4,6295292.0,10.010249402118221,20210108,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002176.SZ,江特电机,2021-01-08 09:30:00,5.06912442,2,14112960.0,5.069124423963128,20210108,True,False,4.1667,5.0526,5.01,-2.0992,-2.3392,-4.93087558,-0.7641755800000007
002910.SZ,庄园牧场,2021-01-08 09:30:00,1.8488746,2,,9.96784565916399,20210108,True,False,-10.0,-10.0,-5.9454,-6.4249,2.4363,-8.1511254,-34.0965254
003030.SZ,祖名股份,2021-01-08 09:30:00,10.0,2,5605137.0,10.02079002079002,20210108,True,False,10.0,10.0,10.0,10.0,6.8147,0.0,46.8147
605277.SH,新亚电子,2021-01-08 09:30:00,10.0,2,1720615.0,10.018621973929228,20210108,True,False,-10.0,-10.0,10.0,-0.076,-2.6996,0.0,-10.076
002164.SZ,宁波东力,2021-01-08 09:30:45,2.3943662,2,,9.154929577464793,20210108,False,True,10.0,10.0,0.0,-5.9091,-7.4879,-7.6056338,12.3943662
600793.SH,宜宾纸业,2021-01-08 09:32:00,10.0,2,2001457.0,1.8145161290322551,20210108,False,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600655.SH,豫园股份,2021-01-08 11:01:15,10.0,5,5183507.0,-0.4608294930875478,20210108,False,False,-2.8631,-2.0129,4.2553,-10.0,-3.5966,0.0,-2.8631
003031.SZ,中瓷电子,2021-01-11 09:30:00,10.0,5,12925424.0,9.999999999999996,20210111,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002176.SZ,江特电机,2021-01-11 09:30:00,4.16666667,3,,5.043859649122817,20210111,True,False,5.0526,5.01,-2.0992,-2.3392,4.99,-5.83333333,-0.7807333300000003
003030.SZ,祖名股份,2021-01-11 09:30:00,10.0,3,6142226.0,10.015117157974297,20210111,True,False,10.0,10.0,10.0,6.8147,-7.1049,0.0,36.8147
002580.SZ,圣阳股份,2021-01-11 09:30:00,-1.88933873,2,,9.986504723346831,20210111,True,False,-8.3906,-10.0,-6.3439,0.1783,2.669,-11.88933873,-20.279938729999998
000570.SZ,苏常柴A,2021-01-11 09:30:30,10.0,2,6926173.0,8.024691358024684,20210111,False,True,0.9818,2.6389,-10.0,-10.0,-2.6711,0.0,0.9818
600416.SH,湘电股份,2021-01-11 09:31:15,2.32983097,2,,2.14709913202375,20210111,False,False,-0.0446,-0.9379,-5.0045,-2.0883,0.5817,-7.67016903,-7.71476903
003026.SZ,中晶科技,2021-01-11 09:34:30,8.58233513,15,,7.371330788469125,20210111,False,False,5.5522,10.0,10.0,-5.1348,10.0,-1.4176648699999994,4.134535130000001
600793.SH,宜宾纸业,2021-01-11 09:38:15,10.0,3,1921152.0,-0.27497708524289055,20210111,False,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
601777.SH,力帆科技,2021-01-11 09:40:30,5.07399577,2,2621449.0,5.073995771670176,20210111,False,False,-0.2012,-4.0323,5.042,2.0,-0.1961,-4.92600423,-5.12720423
003031.SZ,中瓷电子,2021-01-12 09:30:00,10.0,6,16038592.0,9.994353472614339,20210112,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
003030.SZ,祖名股份,2021-01-12 09:30:00,10.0,4,5142345.0,9.99656475437995,20210112,True,False,10.0,10.0,6.8147,-7.1049,-6.8678,0.0,26.814700000000002
600793.SH,宜宾纸业,2021-01-12 09:30:15,10.0,4,6750792.0,7.916666666666661,20210112,False,True,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000570.SZ,苏常柴A,2021-01-12 09:34:15,0.98176718,3,,3.786816269284719,20210112,False,False,2.6389,-10.0,-10.0,-2.6711,-3.259,-9.01823282,-6.37933282
002017.SZ,东信和平,2021-01-12 09:42:15,4.1069723,2,,0.0,20210112,False,False,10.0,-2.0017,-6.9787,4.7575,-3.9301,-5.8930277,2.1052722999999998
003031.SZ,中瓷电子,2021-01-13 09:30:00,10.0,7,11463143.0,10.010266940451743,20210113,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
003030.SZ,祖名股份,2021-01-13 09:30:00,10.0,5,2248442.0,9.993753903810104,20210113,True,False,10.0,6.8147,-7.1049,-6.8678,2.514,0.0,16.814700000000002
603698.SH,航天工程,2021-01-13 09:30:00,10.0,2,6324943.0,10.035087719298243,20210113,True,False,10.0,10.0,-6.3224,-8.099,1.7748,0.0,13.6776
002813.SZ,路畅科技,2021-01-13 09:32:30,10.0,2,969400.0,6.110154905335636,20210113,False,True,10.0,10.0,10.0,10.0,-7.9904,0.0,32.0096
002553.SZ,南方轴承,2021-01-13 09:32:45,10.0,2,8342700.0,3.257042253521136,20210113,False,False,10.0,-1.6727,-7.0266,-7.0008,5.5603,0.0,8.3273
002164.SZ,宁波东力,2021-01-13 09:44:30,0.0,2,,6.590909090909091,20210113,False,False,-5.9091,-7.4879,0.7833,-7.2539,-1.8156,-10.0,-15.909099999999999
600793.SH,宜宾纸业,2021-01-13 10:15:46,10.0,5,1971480.0,5.9848484848484915,20210113,False,False,10.0,10.0,10.0,10.0,-7.3377,0.0,32.6623
003031.SZ,中瓷电子,2021-01-14 09:30:00,10.0,8,12524341.0,10.009332711152588,20210114,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000890.SZ,法尔胜,2021-01-14 09:30:00,0.0,2,,5.128205128205118,20210114,True,False,1.6026,-0.9464,-1.9108,0.3247,2.589,-10.0,-8.3974
003032.SZ,传智教育,2021-01-14 09:30:00,10.0,2,8707989.0,10.0,20210114,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
002553.SZ,南方轴承,2021-01-14 09:30:30,10.0,3,7286264.0,7.840000000000003,20210114,False,True,-1.6727,-7.0266,-7.0008,5.5603,-0.6483,0.0,-1.6727
600185.SH,格力地产,2021-01-14 09:31:15,10.0,2,18922429.0,8.231707317073171,20210114,False,False,3.8781,-5.3333,-0.7042,-0.5674,-4.8502,0.0,3.8781
002176.SZ,江特电机,2021-01-14 09:31:30,-2.09923664,2,,3.053435114503819,20210114,False,False,-2.3392,4.99,4.943,5.0725,5.0,-12.09923664,-14.43843664
600379.SH,宝光股份,2021-01-14 09:32:15,10.0,2,4298596.0,4.25240054869684,20210114,False,False,1.1222,-5.5487,-5.2219,-3.8567,-1.0029,0.0,1.1222
603698.SH,航天工程,2021-01-14 09:35:00,10.0,3,809200.0,6.505102040816324,20210114,False,False,10.0,-6.3224,-8.099,1.7748,-3.6079,0.0,3.6776
003030.SZ,祖名股份,2021-01-14 09:51:24,10.0,6,1400539.0,8.688245315161847,20210114,False,False,6.8147,-7.1049,-6.8678,2.514,10.0,0.0,6.8147
600793.SH,宜宾纸业,2021-01-14 10:04:12,10.0,6,1201920.0,7.43801652892562,20210114,False,False,10.0,10.0,10.0,-7.3377,-4.3147,0.0,22.662300000000002
002813.SZ,路畅科技,2021-01-14 10:12:57,10.0,3,248900.0,1.7214397496087688,20210114,False,False,10.0,10.0,10.0,-7.9904,-6.3317,0.0,22.0096
003031.SZ,中瓷电子,2021-01-15 09:30:00,10.0,9,9518853.0,10.010604453870624,20210115,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
