,股票简称,昨收,前连板,昨封单,昨开,昨首停,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
600193.SH,创兴资源,-3.61842105,3,,4.934210526315787,2021-03-02 09:30:00,20210302,True,False,1.0239,-0.3378,-1.6949,-1.0345,-0.8711,-13.61842105,-12.59452105
603126.SH,中材节能,10.0,2,16962057.0,10.06006006006006,2021-03-02 09:30:00,20210302,True,False,10.0,10.0,10.0,10.0,-10.0,0.0,30.0
603603.SH,博天环境,10.0,2,1912200.0,9.941520467836254,2021-03-02 09:30:00,20210302,True,False,3.1915,-1.7182,-8.7413,10.0,-9.7561,0.0,3.1915
601038.SH,一拖股份,10.0,2,6352200.0,5.169340463458111,2021-03-02 09:33:30,20210302,False,True,10.0,10.0,1.4735,3.5644,-10.0,0.0,21.4735
600980.SH,北矿科技,-0.0547046,2,,3.9387308533916783,2021-03-02 09:35:30,20210302,False,False,1.861,-4.8898,-3.6158,-3.9273,-5.5522,-10.0547046,-8.1937046
603126.SH,中材节能,10.0,3,5230892.0,9.959072305593457,2021-03-03 09:30:00,20210303,True,False,10.0,10.0,10.0,-10.0,-4.5502,0.0,15.4498
605298.SH,必得科技,10.0,2,15735005.0,9.988156336360053,2021-03-03 09:30:00,20210303,True,False,-8.0043,-10.0,0.13,-5.3656,10.0,0.0,-8.0043
002494.SZ,华斯股份,10.0,2,29101548.0,8.353221957040564,2021-03-03 09:30:15,20210303,False,True,-7.1584,2.8037,-10.0,-10.101,-3.3708,0.0,-7.1584
600696.SH,岩石股份,5.00650195,2,541099.0,3.3159947984395304,2021-03-03 09:31:15,20210303,False,False,-5.0155,5.0196,0.0621,5.0248,1.6539,-4.99349805,-10.00899805
601038.SH,一拖股份,10.0,3,7409457.0,0.8914100486223617,2021-03-03 09:34:30,20210303,False,False,10.0,1.4735,3.5644,-10.0,-8.4986,0.0,11.4735
002378.SZ,章源钨业,10.0,2,7352167.0,-1.280409731113952,2021-03-03 09:44:00,20210303,False,False,10.0,-3.7037,10.0,-10.0,-9.545,0.0,6.2963000000000005
002847.SZ,盐津铺子,10.0,2,29490.0,0.7067137809187254,2021-03-03 15:00:00,20210303,False,False,-4.2323,-2.0881,-3.0319,-3.5506,0.7784,0.0,-4.2323
603126.SH,中材节能,10.0,4,11851083.0,10.049627791563259,2021-03-04 09:30:00,20210304,True,False,10.0,10.0,-10.0,-4.5502,10.0,0.0,5.4498
002658.SZ,雪迪龙,10.0,2,7107157.0,2.0804438280166484,2021-03-04 09:32:00,20210304,False,True,3.5309,-4.7503,-10.0,-2.5568,4.6647,0.0,3.5309
002665.SZ,首航高科,-1.8018018,2,,4.504504504504488,2021-03-04 09:32:15,20210304,False,False,-6.422,-1.9608,-6.5,4.2781,5.1282,-11.8018018,-18.2238018
