,股票简称,昨首停,昨收,前连板,昨封单,昨开,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
600696.SH,岩石股份,2021-03-04 09:32:45,-5.01547988,3,,5.015479876161005,20210304,False,False,5.0196,0.0621,5.0248,1.6539,-1.2202
601038.SH,一拖股份,2021-03-04 09:38:45,10.02210759,4,7929483.0,3.168754605747971,20210304,False,False,1.4735,3.5644,-10.0064,-8.4986,1.7802
002378.SZ,章源钨业,2021-03-04 10:01:40,10.01164144,3,6626838.0,3.376018626309673,20210304,False,False,-3.7037,10.0,-9.99,-9.545,5.0307
300234.SZ,开尔新材,2021-03-04 14:13:44,20.04830918,2,2326268.0,4.83091787439614,20210304,False,False,-9.4567,1.5556,-10.5033,3.0562,20.0474
603126.SH,中材节能,2021-03-05 09:31:45,10.03382187,5,6729143.0,8.229988726042846,20210305,False,True,10.041,-9.9628,-4.5502,9.9675,10.0493
002658.SZ,雪迪龙,2021-03-05 09:55:30,3.53089533,3,,0.6305170239596559,20210305,False,False,-4.7503,-9.9744,-2.5568,4.6647,5.9889
002647.SZ,仁东控股,2021-03-05 09:56:15,9.97229917,2,4470500.0,4.9861495844875385,20210305,False,False,10.0126,,,,
601038.SH,一拖股份,2021-03-05 14:30:25,1.4735432,5,,2.8131279303415937,20210305,False,False,3.5644,-10.0064,-8.4986,1.7802,5.6274
002207.SZ,准油股份,2021-03-08 09:30:00,10,2,1739500.0,10.000000000000009,20210308,True,False,10.0267,-9.2345,-2.8112,8.1267,-8.9172
002554.SZ,惠博普,2021-03-08 09:30:00,10.16949153,2,44191069.0,10.169491525423723,20210308,True,False,-4.0,-9.9359,0.7117,1.0601,-6.993
603126.SH,中材节能,2021-03-08 09:45:17,10.04098361,6,6143650.0,4.50819672131147,20210308,False,True,-9.9628,-4.5502,9.9675,10.0493,0.0
002647.SZ,仁东控股,2021-03-08 13:25:38,10.01259446,3,5232743.0,-3.085642317380354,20210308,False,False,,,,,
600121.SH,郑州煤电,2021-03-08 13:45:40,10.05110733,2,8454120.0,4.940374787052812,20210308,False,False,10.0619,-2.391,-4.4669,9.9548,-9.7394
603098.SH,森特股份,2021-03-09 09:30:00,10.02592913,2,25666113.0,10.025929127052724,20210309,True,False,9.9764,10.0,-4.6753,-1.6349,9.9723
600169.SH,太原重工,2021-03-09 09:30:45,10.10452962,2,1771273.0,5.226480836236931,20210309,False,True,-10.1266,-3.8732,1.4652,-3.2491,3.7313
600121.SH,郑州煤电,2021-03-09 10:05:49,10.0619195,3,11590564.0,1.8575851393188871,20210309,False,False,-2.391,-4.4669,9.9548,-9.7394,-1.8237
002096.SZ,南岭民爆,2021-03-09 10:15:19,9.97782705,2,5470300.0,0.8869179600886926,20210309,False,False,-9.9798,-5.5991,2.847,-3.9216,3.2413
002207.SZ,准油股份,2021-03-09 13:07:19,10.02673797,3,2888500.0,-4.812834224598934,20210309,False,False,-9.2345,-2.8112,8.1267,-8.9172,1.8182
603098.SH,森特股份,2021-03-10 09:30:00,9.97643362,3,22380525.0,9.976433621366846,20210310,True,False,10.0,-4.6753,-1.6349,9.9723,-8.5013
002620.SZ,瑞和股份,2021-03-10 09:30:00,0.75757576,2,,10.000000000000004,20210310,True,False,-4.812,-1.7378,-0.9646,2.5974,-3.3228
003039.SZ,顺控发展,2021-03-10 09:30:00,10.02155172,2,6896668.0,10.021551724137947,20210310,True,False,9.9902,9.9733,10.0405,10.0074,10.0334
605208.SH,永茂泰,2021-03-10 09:30:00,9.98586905,2,2765870.0,9.98586905322657,20210310,True,False,10.0214,-8.4469,-9.9915,-1.7478,0.4327
002836.SZ,新宏泽,2021-03-10 09:30:30,2.75229358,2,,5.504587155963299,20210310,False,True,0.1786,5.1693,-10.0,-4.8964,-2.2772
002210.SZ,飞马国际,2021-03-10 09:31:15,5.11811024,2,6627484.0,2.362204724409451,20210310,False,False,-4.8689,4.7244,-1.5038,-1.9084,-0.7782
600744.SH,华银电力,2021-03-10 09:42:30,9.89010989,2,28509044.0,-3.2967032967032996,20210310,False,False,10.0,10.0,9.9174,9.9624,-1.5385
603098.SH,森特股份,2021-03-11 09:30:00,10,4,6273150.0,10.000000000000002,20210311,True,False,-4.6753,-1.6349,9.9723,-8.5013,9.9794
002210.SZ,飞马国际,2021-03-11 09:30:00,-4.86891386,3,,4.8689138576778985,20210311,True,False,4.7244,-1.5038,-1.9084,-0.7782,-1.1765
003039.SZ,顺控发展,2021-03-11 09:30:00,9.99020568,3,7199164.0,9.990205680705186,20210311,True,False,9.9733,10.0405,10.0074,10.0334,10.0304
600744.SH,华银电力,2021-03-11 09:30:00,10,3,34779654.0,10.000000000000009,20210311,True,False,10.0,9.9174,9.9624,-1.5385,3.9931
605208.SH,永茂泰,2021-03-11 09:30:00,10.02141328,3,2075845.0,10.021413276231263,20210311,True,False,-8.4469,-9.9915,-1.7478,0.4327,10.0048
003039.SZ,顺控发展,2021-03-12 09:30:00,9.97328584,4,44752293.0,9.973285841495985,20210312,True,False,10.0405,10.0074,10.0334,10.0304,10.0
600744.SH,华银电力,2021-03-12 09:30:00,10,4,42785845.0,9.999999999999988,20210312,True,False,9.9174,9.9624,-1.5385,3.9931,10.0167
000966.SZ,长源电力,2021-03-12 09:30:00,9.95762712,2,9570702.0,9.957627118644082,20210312,True,False,0.1927,10.0,-8.7413,9.9617,9.9303
002996.SZ,顺博合金,2021-03-12 09:30:00,10.01251564,2,6946702.0,10.01251564455568,20210312,True,False,-4.38,9.9941,10.0054,9.9803,10.0134
600702.SH,舍得酒业,2021-03-12 11:26:00,5.00394633,2,507398.0,0.6629834254143673,20210312,False,True,1.8942,1.5344,-2.8189,4.994,3.2185
003039.SZ,顺控发展,2021-03-15 09:30:00,10.04048583,5,4618830.0,10.040485829959517,20210315,True,False,10.0074,10.0334,10.0304,10.0,9.995
600744.SH,华银电力,2021-03-15 09:30:00,9.91735537,5,2947157.0,9.917355371900836,20210315,True,False,9.9624,-1.5385,3.9931,10.0167,10.0152
600307.SH,酒钢宏兴,2021-03-15 09:30:15,6.82926829,2,,10.243902439024389,20210315,False,True,-4.1096,-7.1429,1.5385,-3.5354,-1.0471
603126.SH,中材节能,2021-03-15 09:32:30,0,2,,6.356311548791413,20210315,False,False,6.0877,-9.5359,1.8657,-2.1062,10.0094
000966.SZ,长源电力,2021-03-15 09:36:45,0.19267823,3,,3.853564547206152,20210315,False,False,10.0,-8.7413,9.9617,9.9303,9.9842
000612.SZ,焦作万方,2021-03-15 09:48:45,9.95762712,2,11571027.0,3.9194915254237395,20210315,False,False,10.0193,-6.655,-4.9719,3.9487,0.1899
002109.SZ,兴化股份,2021-03-15 09:55:15,9.96884735,2,14695246.0,4.517133956386293,20210315,False,False,10.0567,-10.0386,-7.2961,-0.7716,-2.4883
002366.SZ,台海核电,2021-03-15 14:47:58,10,2,8945079.0,1.750000000000007,20210315,False,False,10.0,9.9174,-4.1353,1.7647,4.0462
600481.SH,双良节能,2021-03-16 09:30:00,6.48148148,2,,10.0,20210316,True,False,-7.3043,-1.8762,-2.4857,7.2549,-4.5704
002366.SZ,台海核电,2021-03-16 09:35:31,10,3,21061500.0,-0.9090909090909098,20210316,False,True,9.9174,-4.1353,1.7647,4.0462,-8.3333
603628.SH,清源股份,2021-03-16 09:41:47,2.90010741,2,,1.2889366272824834,20210316,False,False,-3.9666,-3.2609,-0.1124,4.8369,-3.2189
000612.SZ,焦作万方,2021-03-16 09:46:02,10.01926782,3,4335962.0,4.720616570327538,20210316,False,False,-6.655,-4.9719,3.9487,0.1899,-9.9526
600744.SH,华银电力,2021-03-16 11:23:17,9.96240602,6,13285639.0,-3.7593984962406046,20210316,False,False,-1.5385,3.9931,10.0167,10.0152,1.5172
003039.SZ,顺控发展,2021-03-16 11:28:36,10.00735835,6,751187.0,2.9433406916850653,20210316,False,False,10.0334,10.0304,10.0,9.995,10.0
600565.SH,迪马股份,2021-03-16 13:47:17,7.07395498,2,,0.0,20210316,False,False,-5.1051,0.3165,-2.8391,2.2727,-1.5873
002109.SZ,兴化股份,2021-03-16 14:30:05,10.05665722,3,10843099.0,6.2322946175637455,20210316,False,False,-10.0386,-7.2961,-0.7716,-2.4883,-10.0478
600526.SH,菲达环保,2021-03-17 09:30:00,10.09345794,2,19944030.0,10.093457943925234,20210317,True,False,10.017,6.0185,10.0437,10.0529,9.976
000011.SZ,深物业A,2021-03-17 09:30:30,10.03533569,2,4928891.0,5.159010600706717,20210317,False,True,4.3674,-7.3846,3.1229,-9.9871,-5.655
002269.SZ,美邦服饰,2021-03-17 09:31:30,10.17964072,2,26654500.0,2.994011976047907,20210317,False,False,9.7826,-2.9703,-6.6327,-9.8361,-3.6364
002452.SZ,长高集团,2021-03-17 09:32:30,3.79146919,2,,5.845181674565563,20210317,False,False,-3.3486,-4.7244,2.4793,-5.0,0.8489
002366.SZ,台海核电,2021-03-17 09:33:30,9.91735537,4,1407200.0,9.917355371900836,20210317,False,False,-4.1353,1.7647,4.0462,-8.3333,-9.697
003039.SZ,顺控发展,2021-03-17 09:41:30,10.03344482,7,1944691.0,-1.0033444816053416,20210317,False,False,10.0304,10.0,9.995,10.0,10.0042
605005.SH,合兴股份,2021-03-17 09:42:00,10.00621504,2,1839933.0,7.271597265382236,20210317,False,False,0.1695,9.9831,10.0,-7.2727,-10.005
002665.SZ,首航高科,2021-03-17 10:25:00,9.88142292,2,9393990.0,-9.090909090909092,20210317,False,False,10.0719,-4.902,1.7182,-10.1351,10.1504
002269.SZ,美邦服饰,2021-03-18 09:30:00,9.7826087,3,23936562.0,9.78260869565217,20210318,True,False,-2.9703,-6.6327,-9.8361,-3.6364,10.0629
002900.SZ,哈三联,2021-03-18 09:33:00,10,2,3101920.0,7.142857142857135,20210318,False,True,10.0186,10.0337,-4.0613,9.984,-10.0218
002996.SZ,顺博合金,2021-03-18 09:33:30,9.98033432,2,4332813.0,5.703048180924288,20210318,False,False,10.0134,9.9959,9.9741,-10.0101,-10.0037
603090.SH,宏盛股份,2021-03-18 09:36:00,-2.38257318,2,,2.791014295439075,20210318,False,False,-2.1618,1.0691,-4.1608,5.0037,-3.3637
600526.SH,菲达环保,2021-03-18 09:36:32,10.01697793,3,2979897.0,6.960950764006794,20210318,False,False,6.0185,10.0437,10.0529,9.976,-4.0437
300848.SZ,美瑞新材,2021-03-18 14:04:19,8.96147404,2,,8.877721943048575,20210318,False,False,3.7663,4.9383,-4.8588,-0.9892,-6.6317
003039.SZ,顺控发展,2021-03-18 14:37:35,10.03039514,8,3406197.0,-5.775075987841941,20210318,False,False,10.0,9.995,10.0,10.0042,10.0
002665.SZ,首航高科,2021-03-18 14:42:16,10.07194245,3,1248580.0,0.0,20210318,False,False,-4.902,1.7182,-10.1351,10.1504,-7.5085
002485.SZ,雪松发展,2021-03-19 09:30:00,-2.10325048,2,,9.942638623326951,20210319,True,False,-5.4688,0.0,-0.6198,0.6237,0.6198
600212.SH,江泉实业,2021-03-19 09:30:15,10.02227171,2,13973982.0,8.685968819599102,20210319,False,True,6.0729,-5.1527,-10.0604,-9.1723,0.9852
002900.SZ,哈三联,2021-03-19 09:30:45,10.01855288,3,4501700.0,6.679035250463827,20210319,False,False,10.0337,-4.0613,9.984,-10.0218,-2.1792
003039.SZ,顺控发展,2021-03-19 09:37:45,10,9,2932822.0,0.0,20210319,False,False,9.995,10.0,10.0042,10.0,10.0172
002996.SZ,顺博合金,2021-03-19 09:38:15,10.01341082,3,4199651.0,9.968708091193564,20210319,False,False,9.9959,9.9741,-10.0101,-10.0037,9.9959
003039.SZ,顺控发展,2021-03-22 09:30:00,9.9949774,10,6574781.0,9.994977398292306,20210322,True,False,10.0,10.0042,10.0,10.0172,10.0094
002996.SZ,顺博合金,2021-03-22 09:30:00,9.99593661,4,8146034.0,9.99593661113369,20210322,True,False,9.9741,-10.0101,-10.0037,9.9959,-7.2775
000966.SZ,长源电力,2021-03-22 09:30:00,9.98415214,2,34264218.0,9.984152139461186,20210322,True,False,9.9424,9.9607,-8.82,4.8366,4.8628
002893.SZ,华通热力,2021-03-22 09:30:00,10.04618938,2,7554773.0,10.046189376443408,20210322,True,False,9.9685,10.0191,-9.974,-4.1426,10.0503
600505.SH,西昌电力,2021-03-22 09:30:15,9.9756691,2,9098206.0,7.542579075425781,20210322,False,True,-2.9867,-8.4379,-9.9626,2.0747,0.542
600212.SH,江泉实业,2021-03-22 09:30:30,6.07287449,3,,6.6801619433198205,20210322,False,False,-5.1527,-10.0604,-9.1723,0.9852,0.9756
002280.SZ,联络互动,2021-03-22 09:38:00,4.98442368,2,8041996.0,2.1806853582554466,20210322,False,False,5.0445,5.0847,-5.1075,-5.0992,3.8806
003035.SZ,南网能源,2021-03-22 09:40:18,9.98322148,2,21805315.0,6.54362416107382,20210322,False,False,9.9924,-9.362,3.6725,-4.3542,10.0309
600916.SH,中国黄金,2021-03-22 09:53:51,10,2,3700662.0,0.0,20210322,False,False,-3.767,10.0209,-2.7514,-1.8049,-3.5768
003016.SZ,欣贺股份,2021-03-22 10:07:51,10.03752345,2,6280789.0,9.568480300187613,20210322,False,False,-9.9744,-2.7462,3.6027,-0.3759,5.566
002900.SZ,哈三联,2021-03-22 13:33:29,10.03372681,4,1901900.0,1.1804384485666153,20210322,False,False,-4.0613,9.984,-10.0218,-2.1792,1.2376
003038.SZ,鑫铂股份,2021-03-22 13:38:59,7.33971569,2,,4.235567159849147,20210322,False,False,-8.3784,-5.8112,2.8187,-0.9138,-2.49
002578.SZ,闽发铝业,2021-03-22 14:10:33,10.07025761,2,,0.0,20210322,False,False,-10.0,-9.9291,-2.8871,0.8108,-1.0724
000966.SZ,长源电力,2021-03-23 09:30:00,9.94236311,3,47356098.0,9.942363112391922,20210323,True,False,9.9607,-8.82,4.8366,4.8628,9.7503
002693.SZ,双成药业,2021-03-23 09:30:00,-7.20164609,2,,10.082304526748956,20210323,True,False,-9.0909,1.4634,-1.6827,-0.489,-0.9828
600956.SH,新天绿能,2021-03-23 09:30:00,10.00926784,2,24391422.0,10.009267840593143,20210323,True,False,10.0253,-4.2879,10.0,10.0364,9.9802
600396.SH,金山股份,2021-03-23 09:30:30,6.04026846,2,,10.067114093959725,20210323,False,True,-8.8608,-10.0694,1.5444,3.8023,-3.663
002280.SZ,联络互动,2021-03-23 09:30:45,5.04451039,3,8221895.0,4.451038575667653,20210323,False,False,5.0847,-5.1075,-5.0992,3.8806,-4.8851
003039.SZ,顺控发展,2021-03-23 09:31:00,10,11,5677296.0,9.543378995433791,20210323,False,False,10.0042,10.0,10.0172,10.0094,10.0057
002893.SZ,华通热力,2021-03-23 09:32:30,9.96852046,3,2431929.0,7.974816369359914,20210323,False,False,10.0191,-9.974,-4.1426,10.0503,10.0457
002996.SZ,顺博合金,2021-03-23 09:33:30,9.97414112,5,,8.718138160325081,20210323,False,False,-10.0101,-10.0037,9.9959,-7.2775,-10.0041
002900.SZ,哈三联,2021-03-23 09:35:45,-4.06130268,5,,-0.3831417624521127,20210323,False,False,9.984,-10.0218,-2.1792,1.2376,10.0244
003035.SZ,南网能源,2021-03-23 10:05:45,9.99237223,3,2706000.0,6.7124332570556895,20210323,False,False,-9.362,3.6725,-4.3542,10.0309,-7.2931
000017.SZ,深中华A,2021-03-23 14:04:01,2.31788079,2,,2.6490066225165587,20210323,False,False,-3.5599,1.0067,-1.9934,-4.0678,0.3534
002280.SZ,联络互动,2021-03-24 09:30:00,5.08474576,4,10553394.0,5.084745762711869,20210324,True,False,-5.1075,-5.0992,3.8806,-4.8851,-4.5317
003040.SZ,楚天龙,2021-03-24 09:30:00,9.9726776,2,26082916.0,9.97267759562842,20210324,True,False,10.0621,10.0451,10.0513,9.972,10.0
605286.SH,同力日升,2021-03-24 09:30:00,10.00418585,2,17043770.0,10.004185851820848,20210324,True,False,10.0076,9.9965,10.0,3.0589,-9.9861
605389.SH,长龄液压,2021-03-24 09:30:00,9.99839769,2,1898854.0,9.99839769267747,20210324,True,False,10.0073,9.9974,3.3947,-10.0012,-9.3273
605303.SH,园林股份,2021-03-24 09:30:15,9.98286204,2,4004946.0,9.168808911739506,20210324,False,True,-5.9213,10.0207,6.3229,-9.9823,-6.803
002642.SZ,荣联科技,2021-03-24 09:30:30,4.04624277,2,,5.009633911368011,20210324,False,False,-7.5926,-2.2044,-0.2049,-5.3388,0.4338
600956.SH,新天绿能,2021-03-24 09:31:00,10.0252738,3,5205687.0,5.307497893850049,20210324,False,False,-4.2879,10.0,10.0364,9.9802,-7.8125
000966.SZ,长源电力,2021-03-24 09:32:00,9.96068152,4,22967239.0,9.698558322411523,20210324,False,False,-8.82,4.8366,4.8628,9.7503,-9.9675
600526.SH,菲达环保,2021-03-24 09:33:00,9.97596154,2,13743951.0,9.975961538461538,20210324,False,False,-4.0437,-6.6059,0.6098,-8.9697,-1.4647
000027.SZ,深圳能源,2021-03-24 09:35:15,9.98023715,2,17835773.0,2.7667984189723436,20210324,False,False,-9.973,9.98,9.9819,0.0825,-7.5021
003039.SZ,顺控发展,2021-03-24 09:36:30,10.0041511,12,3201107.0,7.887090078870895,20210324,False,False,10.0,10.0172,10.0094,10.0057,9.9974
002554.SZ,惠博普,2021-03-24 09:48:15,10,2,14114400.0,2.85714285714286,20210324,False,False,-3.1169,-3.4853,10.0,-2.7778,-8.5714
603919.SH,金徽酒,2021-03-24 09:50:00,10.00314564,2,2727967.0,3.806228373702425,20210324,False,False,-1.058,10.0,-1.7341,-6.2299,-1.9105
601456.SH,国联证券,2021-03-24 10:39:48,3.05810398,2,,1.5290519877675839,20210324,False,False,0.7122,-4.5374,-2.4691,-0.9494,-2.6837
002549.SZ,凯美特气,2021-03-24 11:30:00,-0.20470829,2,,-1.7400204708290679,20210324,False,False,-9.9487,-1.7084,0.5794,-0.4608,3.588
002893.SZ,华通热力,2021-03-24 13:17:02,10.01908397,4,3214585.0,-2.480916030534349,20210324,False,False,-9.974,-4.1426,10.0503,10.0457,10.0415
002280.SZ,联络互动,2021-03-25 09:30:00,-5.10752688,5,,5.107526881720428,20210325,True,False,-5.0992,3.8806,-4.8851,-4.5317,-5.0633
003040.SZ,楚天龙,2021-03-25 09:30:00,10.0621118,3,19580896.0,10.062111801242219,20210325,True,False,10.0451,10.0513,9.972,10.0,10.0154
605286.SH,同力日升,2021-03-25 09:30:00,10.00761035,3,676664.0,10.0076103500761,20210325,True,False,9.9965,10.0,3.0589,-9.9861,-5.7627
605389.SH,长龄液压,2021-03-25 09:30:00,10.00728332,3,1549452.0,10.00728332119445,20210325,True,False,9.9974,3.3947,-10.0012,-9.3273,0.5136
002199.SZ,东晶电子,2021-03-25 09:30:00,-6.09418283,2,,9.972299168975077,20210325,True,False,-2.8024,-2.5797,-2.648,-0.32,-1.6051
603603.SH,博天环境,2021-03-25 09:30:00,9.94236311,2,1952000.0,9.942363112391922,20210325,True,False,-3.6697,-7.0748,-9.224,10.0,-1.0264
603778.SH,乾景园林,2021-03-25 09:30:30,10.09345794,2,7951649.0,8.411214953271031,20210325,False,True,10.017,9.8765,-9.9719,5.3042,-9.9259
600892.SH,大晟文化,2021-03-25 09:37:15,-0.40322581,2,,0.8064516129032265,20210325,False,False,-9.919,-0.4494,-5.8691,0.2398,-0.7177
002554.SZ,惠博普,2021-03-25 10:46:01,-3.11688312,3,,4.155844155844148,20210325,False,False,-3.4853,10.0,-2.7778,-8.5714,-7.1023
002316.SZ,亚联发展,2021-03-25 11:01:16,9.90990991,2,6434877.0,4.729729729729729,20210325,False,False,-7.377,-1.5487,-9.2135,9.901,1.5766
003039.SZ,顺控发展,2021-03-25 14:56:24,10,13,1740042.0,8.264150943396231,20210325,False,False,10.0172,10.0094,10.0057,9.9974,10.0023
003040.SZ,楚天龙,2021-03-26 09:30:00,10.04514673,4,38367782.0,10.04514672686231,20210326,True,False,10.0513,9.972,10.0,10.0154,10.014
603778.SH,乾景园林,2021-03-26 09:30:00,10.01697793,3,14667707.0,10.016977928692713,20210326,True,False,9.8765,-9.9719,5.3042,-9.9259,-8.7171
600917.SH,重庆燃气,2021-03-26 09:30:30,10.03382187,2,6082683.0,5.975197294250295,20210326,False,True,10.041,9.9628,-1.7782,-3.1897,3.4728
605286.SH,同力日升,2021-03-26 09:33:00,9.99654099,4,3828228.0,0.3113109650639912,20210326,False,False,10.0,3.0589,-9.9861,-5.7627,10.0065
003039.SZ,顺控发展,2021-03-26 10:00:00,10.01715266,14,1213961.0,-0.9948542024013693,20210326,False,False,10.0094,10.0057,9.9974,10.0023,10.0085
605389.SH,长龄液压,2021-03-26 10:13:15,9.99735169,4,443108.0,1.9200211864406818,20210326,False,False,3.3947,-10.0012,-9.3273,0.5136,3.6196
600963.SH,岳阳林纸,2021-03-26 10:39:33,-1.33531157,2,,5.341246290801179,20210326,False,False,1.5038,-9.9259,-1.6447,1.6722,-2.3026
003040.SZ,楚天龙,2021-03-29 09:30:00,10.05128205,5,15409156.0,10.051282051282056,20210329,True,False,9.972,10.0,10.0154,10.014,9.9936
605286.SH,同力日升,2021-03-29 09:30:00,10,5,1878812.0,9.999999999999988,20210329,True,False,3.0589,-9.9861,-5.7627,10.0065,-5.0832
002269.SZ,美邦服饰,2021-03-29 09:30:00,9.84455959,2,77162220.0,9.844559585492238,20210329,True,False,9.9057,9.8712,10.1563,9.9291,10.0
002658.SZ,雪迪龙,2021-03-29 09:30:00,10.0292113,2,6437717.0,10.029211295034091,20210329,True,False,10.0,9.9759,-10.0219,-10.0,1.4453
605055.SH,迎丰股份,2021-03-29 09:30:00,9.98980632,2,6855598.0,9.989806320081534,20210329,True,False,10.0093,10.0253,-3.9816,1.3557,-9.9921
600917.SH,重庆燃气,2021-03-29 09:30:30,10.04098361,3,2902129.0,8.60655737704918,20210329,False,True,9.9628,-1.7782,-3.1897,3.4728,9.9828
600540.SH,新赛股份,2021-03-29 09:30:30,9.96503497,2,13885972.0,4.895104895104899,20210329,False,False,10.0159,9.9711,6.4389,-9.1358,-7.2011
603778.SH,乾景园林,2021-03-29 09:30:45,9.87654321,4,,6.327160493827149,20210329,False,False,-9.9719,5.3042,-9.9259,-8.7171,1.0811
605199.SH,葫芦娃,2021-03-29 09:31:00,10.0040833,2,3466541.0,7.5949367088607715,20210329,False,False,0.1485,0.6301,-8.4346,-0.2011,2.7811
605389.SH,长龄液压,2021-03-29 09:36:45,3.39472734,5,,0.7583965330444321,20210329,False,False,-10.0012,-9.3273,0.5136,3.6196,-0.9589
003039.SZ,顺控发展,2021-03-29 09:38:15,10.00935454,15,1916253.0,5.986903648269416,20210329,False,False,10.0057,9.9974,10.0023,10.0085,10.0077
603196.SH,日播时尚,2021-03-29 11:06:41,10.01540832,2,414600.0,7.0878274268104775,20210329,False,False,-2.521,2.7299,-0.5594,9.9859,-7.6726
002378.SZ,章源钨业,2021-03-29 13:18:48,2.23529412,2,,0.4705882352941076,20210329,False,False,0.2301,-1.2629,-1.6279,-4.6099,-1.3631
000809.SZ,铁岭新城,2021-03-30 09:30:00,-7.30593607,2,,10.045662100456632,20210330,True,False,-5.9113,-0.5236,0.0,0.5263,1.0471
003040.SZ,楚天龙,2021-03-30 09:30:00,9.97204101,6,49706109.0,9.972041006523767,20210330,True,False,10.0,10.0154,10.014,9.9936,10.0116
600540.SH,新赛股份,2021-03-30 09:30:00,10.01589825,3,24401527.0,10.015898251192366,20210330,True,False,9.9711,6.4389,-9.1358,-7.2011,2.0498
603759.SH,海天股份,2021-03-30 09:30:00,10.02816901,2,16631624.0,10.028169014084513,20210330,True,False,9.9846,10.0093,9.9873,10.0038,10.0035
002941.SZ,新疆交建,2021-03-30 09:30:15,10.00746826,2,10135663.0,10.007468259895443,20210330,False,True,9.9796,-10.0,-6.3786,0.9524,-1.8868
605055.SH,迎丰股份,2021-03-30 09:31:00,10.00926784,3,9053147.0,6.4874884151992696,20210330,False,False,10.0253,-3.9816,1.3557,-9.9921,5.9441
002168.SZ,惠程科技,2021-03-30 09:31:45,0,2,,3.485254691689005,20210330,False,False,0.8043,-4.7872,0.2793,0.2786,5.0
600780.SH,通宝能源,2021-03-30 09:32:15,2.6128266,2,,6.888361045130642,20210330,False,False,9.9537,10.1053,-2.1033,-7.4219,-1.8987
605199.SH,葫芦娃,2021-03-30 09:33:00,0.1484781,3,,9.98515219005196,20210330,False,False,0.6301,-8.4346,-0.2011,2.7811,10.0
603080.SH,新疆火炬,2021-03-30 09:33:00,9.9702381,2,3957161.0,9.374999999999998,20210330,False,False,10.0135,2.829,9.988,-10.0054,-0.9668
002269.SZ,美邦服饰,2021-03-30 09:33:15,9.90566038,3,19661200.0,3.7735849056603805,20210330,False,False,9.8712,10.1563,9.9291,10.0,9.9707
600956.SH,新天绿能,2021-03-30 09:42:15,9.98017184,2,2939801.0,5.0892267019167186,20210330,False,False,-7.8125,-9.9739,-6.9515,10.0389,9.9717
002658.SZ,雪迪龙,2021-03-30 09:47:15,10,3,5920334.0,4.778761061946895,20210330,False,False,9.9759,-10.0219,-10.0,1.4453,1.7809
002907.SZ,华森制药,2021-03-30 10:07:15,0.66617321,2,,1.2583271650629158,20210330,False,False,-6.6176,-1.4173,1.278,-1.0252,2.4701
600917.SH,重庆燃气,2021-03-30 10:49:46,9.96275605,4,2229751.0,3.8175046554934835,20210330,False,False,-1.7782,-3.1897,3.4728,9.9828,-5.5556
003039.SZ,顺控发展,2021-03-30 11:04:47,10.00566893,16,1295714.0,4.8752834467120145,20210330,False,False,9.9974,10.0023,10.0085,10.0077,
605169.SH,洪通燃气,2021-03-30 13:27:49,10.0082713,2,1556250.0,0.0,20210330,False,False,-4.2105,-9.0267,-0.0863,-0.2159,4.8031
002060.SZ,粤水电,2021-03-30 14:44:08,8.31295844,2,,1.4669926650366871,20210330,False,False,-9.0293,-2.9777,-4.3478,0.8021,0.0
000065.SZ,北方国际,2021-03-31 09:30:00,10,2,1837155.0,10.000000000000014,20210331,True,False,10.0423,7.9731,-2.9359,-1.0082,-9.9074
600339.SH,中油工程,2021-03-31 09:30:00,10.03039514,2,3955060.0,10.030395136778118,20210331,True,False,-7.7348,-7.485,-0.9709,-0.6536,-1.6447
002828.SZ,贝肯能源,2021-03-31 09:30:00,5.04115226,2,,9.979423868312745,20210331,True,False,-9.9902,-7.3993,1.0576,0.2326,-3.1323
000617.SZ,中油资本,2021-03-31 09:30:00,7.04787234,2,,9.97340425531915,20210331,True,False,-9.9379,-7.7241,-0.299,-1.1994,-3.0349
000151.SZ,中成股份,2021-03-31 09:30:00,10.01137656,2,13320338.0,10.0113765642776,20210331,True,False,10.031,-9.4925,-6.7497,-0.8909,-7.4157
603759.SH,海天股份,2021-03-31 09:30:00,9.98463902,3,13265987.0,9.984639016897077,20210331,True,False,10.0093,9.9873,10.0038,10.0035,10.0159
603988.SH,中电电机,2021-03-31 09:30:00,10,2,7314190.0,9.999999999999998,20210331,True,False,9.994,10.0164,10.0,9.9955,-9.9918
600540.SH,新赛股份,2021-03-31 09:30:00,9.97109827,4,31693062.0,9.97109826589596,20210331,True,False,6.4389,-9.1358,-7.2011,2.0498,-10.043
003040.SZ,楚天龙,2021-03-31 09:30:00,10,7,32920973.0,9.999999999999996,20210331,True,False,10.0154,10.014,9.9936,10.0116,9.9947
002941.SZ,新疆交建,2021-03-31 09:30:00,9.9796334,3,2225000.0,9.979633401221989,20210331,True,False,-10.0,-6.3786,0.9524,-1.8868,-6.4349
603080.SH,新疆火炬,2021-03-31 09:30:15,10.0135318,3,171200.0,8.592692828146154,20210331,False,True,2.829,9.988,-10.0054,-0.9668,-5.9182
605055.SH,迎丰股份,2021-03-31 09:30:30,10.0252738,4,4244972.0,8.003369839932613,20210331,False,False,-3.9816,1.3557,-9.9921,5.9441,3.8779
