,股票简称,昨收,前连板,昨开,昨首停,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg,0_c_chg,profit
002239.SZ,奥特佳,10.18518519,2,10.185185185185173,2020-01-08 09:30:00,20122992.0,20200108,True,False,2.9412,-7.3469,3.5242,-2.9787,-4.8246,0.18518519000000033,3.12638519
002510.SZ,天汽模,10.0,2,10.050251256281417,2020-01-08 09:30:00,15091864.0,20200108,True,False,0.0,-10.0,2.0305,-0.6633,-2.1703,0.0,0.0
002623.SZ,亚玛顿,2.01985621,2,9.996576514892165,2020-01-08 09:30:00,,20200108,True,False,10.0,7.3826,0.2273,1.1054,-3.6445,-7.98014379,9.40245621
002973.SZ,侨银股份,10.0,2,10.000000000000002,2020-01-08 09:30:00,9864605.0,20200108,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
600546.SH,山煤国际,10.0,2,10.054644808743168,2020-01-08 09:30:00,25383600.0,20200108,True,False,-1.6882,5.0505,1.5385,-1.9886,3.4783,0.0,-1.6882
002389.SZ,航天彩虹,7.92291221,2,3.4975017844396876,2020-01-08 09:41:00,,20200108,False,True,-9.6561,-3.9531,2.7439,-2.2255,-2.2762,-2.07708779,-11.73318779
300264.SZ,佳创视讯,-5.10638298,4,4.2553191489361675,2020-01-08 09:47:00,,20200108,False,False,-1.1958,10.0,-0.8253,10.0,-6.9357,-15.10638298,-16.302182979999998
002441.SZ,众业达,5.83153348,2,6.911447084233267,2020-01-08 10:56:15,,20200108,False,False,-5.7143,-5.5195,3.3219,0.0,-1.4412,-4.16846652,-9.88276652
300811.SZ,铂科新材,10.0,7,9.999999999999996,2020-01-09 09:30:00,1649555.0,20200109,True,False,10.0,10.0,10.0,10.0,-4.8812,0.0,10.0
002160.SZ,常铝股份,10.0,3,10.096153846153845,2020-01-09 09:30:00,13935189.0,20200109,True,False,-10.0,-3.3981,-2.2613,-3.856,0.5348,0.0,-13.3981
002973.SZ,侨银股份,10.0,3,9.990009990009991,2020-01-09 09:30:00,6686898.0,20200109,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
000700.SZ,模塑科技,10.0,2,9.960937499999996,2020-01-09 09:30:00,20460776.0,20200109,True,False,5.3286,10.0,-3.2209,10.0,10.0,0.0,5.3286
300391.SZ,康跃科技,10.0,2,9.999999999999988,2020-01-09 09:30:00,12081561.0,20200109,True,False,10.0,0.4695,2.6168,-10.0,-4.9595,0.0,10.0
300087.SZ,荃银高科,10.0,4,7.935440484196379,2020-01-09 09:30:30,281781.0,20200109,False,True,1.8337,4.982,-0.6289,-10.0,-1.4066,0.0,1.8337
300063.SZ,天龙集团,10.0,2,8.200455580865611,2020-01-09 09:30:30,10702050.0,20200109,False,False,-8.0745,10.0,-6.1475,-3.4934,0.2262,0.0,-8.0745
601258.SH,庞大集团,5.22875817,2,4.575163398692815,2020-01-09 09:31:00,18534600.0,20200109,False,False,-4.9689,5.2288,,1.2422,-4.908,-4.77124183,-9.740141829999999
002510.SZ,天汽模,0.0,3,6.697108066971073,2020-01-09 09:31:15,,20200109,False,False,-10.0,2.0305,-0.6633,-2.1703,1.5358,-10.0,-17.9695
002239.SZ,奥特佳,2.94117647,3,6.722689075630258,2020-01-09 09:35:45,,20200109,False,False,-7.3469,3.5242,-2.9787,-4.8246,-0.9217,-7.05882353,-14.40572353
600455.SH,博通股份,10.0,2,2.2831050228310503,2020-01-09 09:48:00,2299134.0,20200109,False,False,-10.0,-10.0,-10.0,-10.0,-0.7909,0.0,-40.7909
300811.SZ,铂科新材,10.0,8,10.001358880282647,2020-01-10 09:30:00,4273838.0,20200110,True,False,10.0,10.0,10.0,-4.8812,-10.0,0.0,10.0
002973.SZ,侨银股份,10.0,4,9.990917347865574,2020-01-10 09:30:00,6230200.0,20200110,True,False,10.0,10.0,10.0,10.0,10.0,0.0,50.0
300063.SZ,天龙集团,-8.07453416,3,9.937888198757754,2020-01-10 09:30:00,,20200110,True,False,10.0,-6.1475,-3.4934,0.2262,-4.7404,-18.07453416,-8.074534159999999
