,strong,ztjs,lbgd,Day,df_num
187,69,80,5,2021-03-22,2
188,47,54,4,2021-03-19,7
189,44,59,4,2021-03-18,8
190,54,56,5,2021-03-17,1
191,61,66,7,2021-03-16,0
192,45,46,6,2021-03-15,3
193,47,47,5,2021-03-12,5
194,58,69,5,2021-03-11,1
195,29,33,4,2021-03-10,13
196,35,35,4,2021-03-09,13
197,45,53,7,2021-03-08,11
198,56,61,6,2021-03-05,10
199,44,44,5,2021-03-04,5
200,59,81,4,2021-03-03,1
201,33,37,3,2021-03-02,12
202,66,84,5,2021-03-01,6
203,40,39,4,2021-02-26,9
204,35,41,3,2021-02-25,12
205,44,42,5,2021-02-24,8
206,49,53,7,2021-02-23,13
207,75,80,7,2021-02-22,3
208,79,100,6,2021-02-19,2
209,67,100,5,2021-02-18,9
210,46,39,4,2021-02-10,8
211,59,65,4,2021-02-09,4
212,40,55,3,2021-02-08,7
213,32,47,4,2021-02-05,19
214,33,45,4,2021-02-04,8
215,31,40,3,2021-02-03,8
216,51,68,4,2021-02-02,22
217,56,82,5,2021-02-01,0
218,29,32,4,2021-01-29,10
219,36,42,4,2021-01-28,12
220,53,63,6,2021-01-27,5
221,38,51,5,2021-01-26,10
222,38,47,5,2021-01-25,6
223,42,50,4,2021-01-22,19
224,65,78,6,2021-01-21,11
225,57,75,6,2021-01-20,7
226,70,73,10,2021-01-19,8
227,75,89,9,2021-01-18,4
228,66,78,8,2021-01-15,8
229,56,68,7,2021-01-14,5
230,39,39,6,2021-01-13,1
231,52,70,5,2021-01-12,2
232,31,40,4,2021-01-11,4
233,45,49,6,2021-01-08,5
234,32,33,6,2021-01-07,6
235,35,46,5,2021-01-06,10
236,51,77,4,2021-01-05,13
237,68,107,5,2021-01-04,1
238,58,57,4,2020-12-31,5
239,48,64,5,2020-12-30,4
240,49,57,4,2020-12-29,9
241,48,60,7,2020-12-28,4
242,61,69,6,2020-12-25,7
243,35,36,5,2020-12-24,10
244,46,51,4,2020-12-23,1
245,44,33,12,2020-12-22,3
246,61,50,11,2020-12-21,1
247,45,37,10,2020-12-18,3
248,55,46,9,2020-12-17,4
249,36,22,8,2020-12-16,4
250,42,30,7,2020-12-15,3
251,48,44,6,2020-12-14,3
252,28,19,5,2020-12-11,4
253,35,28,4,2020-12-10,5
254,26,31,3,2020-12-09,4
255,33,31,4,2020-12-08,4
256,28,32,3,2020-12-07,6
257,35,33,3,2020-12-04,8
258,48,42,7,2020-12-03,7
259,52,47,6,2020-12-02,2
260,52,42,5,2020-12-01,1
261,33,26,4,2020-11-30,4
262,36,27,4,2020-11-27,7
263,29,23,3,2020-11-26,3
264,29,30,4,2020-11-25,3
265,33,32,3,2020-11-24,0
266,47,43,5,2020-11-23,2
267,44,46,4,2020-11-20,1
268,44,35,7,2020-11-19,8
269,44,29,6,2020-11-18,0
270,34,25,5,2020-11-17,6
271,46,50,4,2020-11-16,6
272,34,27,3,2020-11-13,7
273,44,38,6,2020-11-12,8
274,32,29,5,2020-11-11,4
275,30,24,4,2020-11-10,18
276,62,63,5,2020-11-09,3
277,30,20,4,2020-11-06,7
278,51,51,3,2020-11-05,2
279,28,28,2,2020-11-04,6
280,47,45,2,2020-11-03,5
281,32,36,2,2020-11-02,1
282,20,8,4,2020-10-30,5
283,30,22,3,2020-10-29,5
284,32,28,2,2020-10-28,3
285,21,15,0,2020-10-27,5
286,30,17,3,2020-10-26,5
287,19,14,2,2020-10-23,5
288,23,14,2,2020-10-22,2
289,21,16,3,2020-10-21,8
290,39,29,3,2020-10-20,2
291,23,17,2,2020-10-19,2
292,29,16,3,2020-10-16,2
293,24,21,2,2020-10-15,6
294,30,30,5,2020-10-14,5
295,40,34,6,2020-10-13,3
296,65,70,5,2020-10-12,3
297,60,82,4,2020-10-09,1
298,26,16,3,2020-09-30,3
299,33,23,2,2020-09-29,3
300,18,9,2,2020-09-28,4
301,23,17,2,2020-09-25,6
302,21,11,4,2020-09-24,9
303,47,37,6,2020-09-23,2
304,27,15,5,2020-09-22,1
305,28,22,4,2020-09-21,5
306,47,44,4,2020-09-18,4
307,33,26,3,2020-09-17,8
308,27,22,4,2020-09-16,1
309,32,31,3,2020-09-15,12
310,45,51,3,2020-09-14,2
311,38,36,2,2020-09-11,3
312,17,16,2,2020-09-10,25
313,29,30,4,2020-09-09,29
314,50,47,5,2020-09-08,4
315,33,29,4,2020-09-07,2
316,34,13,3,2020-09-04,4
317,35,29,6,2020-09-03,12
318,39,34,5,2020-09-02,3
319,37,37,2,2020-09-01,2
320,34,45,3,2020-08-31,6
321,42,39,4,2020-08-28,11
322,48,34,7,2020-08-27,6
323,29,16,6,2020-08-26,7
324,37,37,5,2020-08-25,3
325,46,44,4,2020-08-24,4
326,42,52,3,2020-08-21,3
327,31,35,3,2020-08-20,8
328,38,53,6,2020-08-19,4
329,58,85,5,2020-08-18,4
330,67,99,5,2020-08-17,1
331,47,49,4,2020-08-14,11
332,55,71,4,2020-08-13,5
333,43,50,5,2020-08-12,8
334,36,37,4,2020-08-11,20
335,70,92,6,2020-08-10,11
336,48,62,5,2020-08-07,6
337,72,101,6,2020-08-06,3
338,75,110,8,2020-08-05,3
339,74,86,7,2020-08-04,27
340,100,213,7,2020-08-03,2
341,80,112,6,2020-07-31,0
342,61,95,5,2020-07-30,2
343,73,109,4,2020-07-29,0
344,56,59,3,2020-07-28,10
345,45,67,3,2020-07-27,6
346,34,35,6,2020-07-24,17
347,53,70,5,2020-07-23,1
