,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
002192.SZ,融捷股份,2021-01-07 10:40:30,4.99367889,2.149178255372937,3,200500.0,20210107,False,False,-3.6725,-5.0,4.6053,-4.9895,-5.0088
605179.SH,一鸣食品,2021-01-07 10:53:17,9.99574649,3.785623139089736,7,1204020.0,20210107,False,False,-10.0155,-10.0129,-1.1461,5.0242,-9.7056
003026.SZ,中晶科技,2021-01-08 09:30:00,10.00579206,10.005792064871121,14,2257971.0,20210108,True,False,8.5823,5.5522,10.0034,10.0021,-5.1348
003031.SZ,中瓷电子,2021-01-08 09:30:00,10.0102494,10.010249402118221,4,6295292.0,20210108,True,False,10.0,9.9944,10.0103,10.0093,10.0106
002176.SZ,江特电机,2021-01-08 09:30:00,5.06912442,5.069124423963128,2,14112960.0,20210108,True,False,4.1667,5.0526,5.01,-2.0992,-2.3392
002910.SZ,庄园牧场,2021-01-08 09:30:00,1.8488746,9.96784565916399,2,,20210108,True,False,-10.0237,-10.0,-5.9454,-6.4249,2.4363
003030.SZ,祖名股份,2021-01-08 09:30:00,10.02079002,10.02079002079002,2,5605137.0,20210108,True,False,10.0151,9.9966,9.9938,9.9943,6.8147
605277.SH,新亚电子,2021-01-08 09:30:00,10.01862197,10.018621973929228,2,1720615.0,20210108,True,False,-9.9865,-10.0038,9.9875,-0.076,-2.6996
002164.SZ,宁波东力,2021-01-08 09:30:45,2.3943662,9.154929577464793,2,,20210108,False,True,10.0413,10.0,0.0,-5.9091,-7.4879
600793.SH,宜宾纸业,2021-01-08 09:32:00,9.97983871,1.8145161290322551,2,2001457.0,20210108,False,False,9.9908,10.0,10.0,9.9862,10.0188
600655.SH,豫园股份,2021-01-08 11:01:15,9.98463902,-0.4608294930875478,5,5183507.0,20210108,False,False,-2.8631,-2.0129,4.2553,-9.993,-3.5966
003031.SZ,中瓷电子,2021-01-11 09:30:00,10,9.999999999999996,5,12925424.0,20210111,True,False,9.9944,10.0103,10.0093,10.0106,10.0058
002176.SZ,江特电机,2021-01-11 09:30:00,4.16666667,5.043859649122817,3,,20210111,True,False,5.0526,5.01,-2.0992,-2.3392,4.99
003030.SZ,祖名股份,2021-01-11 09:30:00,10.01511716,10.015117157974297,3,6142226.0,20210111,True,False,9.9966,9.9938,9.9943,6.8147,-7.1049
002580.SZ,圣阳股份,2021-01-11 09:30:00,-1.88933873,9.986504723346831,2,,20210111,True,False,-8.3906,-10.0601,-6.3439,0.1783,2.669
000570.SZ,苏常柴A,2021-01-11 09:30:30,10.0308642,8.024691358024684,2,6926173.0,20210111,False,True,0.9818,2.6389,-10.0135,-9.9248,-2.6711
600416.SH,湘电股份,2021-01-11 09:31:15,2.32983097,2.14709913202375,2,,20210111,False,False,-0.0446,-0.9379,-5.0045,-2.0883,0.5817
003026.SZ,中晶科技,2021-01-11 09:34:30,8.58233513,7.371330788469125,15,,20210111,False,False,5.5522,10.0034,10.0021,-5.1348,10.005
600793.SH,宜宾纸业,2021-01-11 09:38:15,9.9908341,-0.27497708524289055,3,1921152.0,20210111,False,False,10.0,10.0,9.9862,10.0188,10.0171
601777.SH,力帆科技,2021-01-11 09:40:30,5.07399577,5.073995771670176,2,2621449.0,20210111,False,False,-0.2012,-4.0323,5.042,2.0,-0.1961
003031.SZ,中瓷电子,2021-01-12 09:30:00,9.99435347,9.994353472614339,6,16038592.0,20210112,True,False,10.0103,10.0093,10.0106,10.0058,10.007
003030.SZ,祖名股份,2021-01-12 09:30:00,9.99656475,9.99656475437995,4,5142345.0,20210112,True,False,9.9938,9.9943,6.8147,-7.1049,-6.8678
600793.SH,宜宾纸业,2021-01-12 09:30:15,10,7.916666666666661,4,6750792.0,20210112,False,True,10.0,9.9862,10.0188,10.0171,9.9845
000570.SZ,苏常柴A,2021-01-12 09:34:15,0.98176718,3.786816269284719,3,,20210112,False,False,2.6389,-10.0135,-9.9248,-2.6711,-3.259
002017.SZ,东信和平,2021-01-12 09:42:15,4.1069723,0.0,2,,20210112,False,False,10.0,-2.0017,-6.9787,4.7575,-3.9301
003031.SZ,中瓷电子,2021-01-13 09:30:00,10.01026694,10.010266940451743,7,11463143.0,20210113,True,False,10.0093,10.0106,10.0058,10.007,10.0048
003030.SZ,祖名股份,2021-01-13 09:30:00,9.9937539,9.993753903810104,5,2248442.0,20210113,True,False,9.9943,6.8147,-7.1049,-6.8678,2.514
603698.SH,航天工程,2021-01-13 09:30:00,10.03508772,10.035087719298243,2,6324943.0,20210113,True,False,10.0128,10.029,-6.3224,-8.099,1.7748
002813.SZ,路畅科技,2021-01-13 09:32:30,9.9827883,6.110154905335636,2,969400.0,20210113,False,True,10.0156,9.9929,9.9903,9.9941,-7.9904
002553.SZ,南方轴承,2021-01-13 09:32:45,10.03521127,3.257042253521136,2,8342700.0,20210113,False,False,10.0,-1.6727,-7.0266,-7.0008,5.5603
002164.SZ,宁波东力,2021-01-13 09:44:30,0,6.590909090909091,2,,20210113,False,False,-5.9091,-7.4879,0.7833,-7.2539,-1.8156
600793.SH,宜宾纸业,2021-01-13 10:15:46,10,5.9848484848484915,5,1971480.0,20210113,False,False,9.9862,10.0188,10.0171,9.9845,-7.3377
003031.SZ,中瓷电子,2021-01-14 09:30:00,10.00933271,10.009332711152588,8,12524341.0,20210114,True,False,10.0106,10.0058,10.007,10.0048,10.0072
000890.SZ,法尔胜,2021-01-14 09:30:00,0,5.128205128205118,2,,20210114,True,False,1.6026,-0.9464,-1.9108,0.3247,2.589
003032.SZ,传智教育,2021-01-14 09:30:00,10,10.0,2,8707989.0,20210114,True,False,9.9729,9.9938,9.9832,9.9949,10.0139
002553.SZ,南方轴承,2021-01-14 09:30:30,10,7.840000000000003,3,7286264.0,20210114,False,True,-1.6727,-7.0266,-7.0008,5.5603,-0.6483
600185.SH,格力地产,2021-01-14 09:31:15,10.06097561,8.231707317073171,2,18922429.0,20210114,False,False,3.8781,-5.3333,-0.7042,-0.5674,-4.8502
002176.SZ,江特电机,2021-01-14 09:31:30,-2.09923664,3.053435114503819,2,,20210114,False,False,-2.3392,4.99,4.943,5.0725,5.0
600379.SH,宝光股份,2021-01-14 09:32:15,10.01371742,4.25240054869684,2,4298596.0,20210114,False,False,1.1222,-5.5487,-5.2219,-3.8567,-1.0029
603698.SH,航天工程,2021-01-14 09:35:00,10.0127551,6.505102040816324,3,809200.0,20210114,False,False,10.029,-6.3224,-8.099,1.7748,-3.6079
003030.SZ,祖名股份,2021-01-14 09:51:24,9.99432141,8.688245315161847,6,1400539.0,20210114,False,False,6.8147,-7.1049,-6.8678,2.514,10.0
600793.SH,宜宾纸业,2021-01-14 10:04:12,9.9862259,7.43801652892562,6,1201920.0,20210114,False,False,10.0188,10.0171,9.9845,-7.3377,-4.3147
002813.SZ,路畅科技,2021-01-14 10:12:57,10.01564945,1.7214397496087688,3,248900.0,20210114,False,False,9.9929,9.9903,9.9941,-7.9904,-6.3317
003031.SZ,中瓷电子,2021-01-15 09:30:00,10.01060445,10.010604453870624,9,9518853.0,20210115,True,False,10.0058,10.007,10.0048,10.0072,10.0053
003032.SZ,传智教育,2021-01-15 09:30:00,9.97286296,9.972862957937588,3,10946632.0,20210115,True,False,9.9938,9.9832,9.9949,10.0139,-9.9874
002305.SZ,南国置业,2021-01-15 09:30:30,9.90566038,8.490566037735835,2,21995887.0,20210115,False,True,9.8712,10.1563,9.9291,-9.0323,-9.9291
600185.SH,格力地产,2021-01-15 09:31:15,3.87811634,6.648199445983385,3,,20210115,False,False,-5.3333,-0.7042,-0.5674,-4.8502,-5.0975
600379.SH,宝光股份,2021-01-15 09:38:00,1.12219451,4.738154613466344,3,,20210115,False,False,-5.5487,-5.2219,-3.8567,-1.0029,-6.8017
002813.SZ,路畅科技,2021-01-15 09:42:30,9.99288762,-0.4267425320056934,4,1566600.0,20210115,False,False,9.9903,9.9941,-7.9904,-6.3317,-5.1163
600793.SH,宜宾纸业,2021-01-15 09:55:15,10.01878522,4.571070757670624,7,2053480.0,20210115,False,False,10.0171,9.9845,-7.3377,-4.3147,1.2202
003026.SZ,中晶科技,2021-01-15 10:11:02,-5.13477601,-0.3416856492027329,2,,20210115,False,False,10.005,-1.3006,-6.5979,3.7786,-1.1313
603698.SH,航天工程,2021-01-15 14:15:40,10.02898551,-9.971014492753627,4,3330171.0,20210115,False,False,-6.3224,-8.099,1.7748,-3.6079,-6.3631
003031.SZ,中瓷电子,2021-01-18 09:30:00,10.00578369,10.005783689994226,10,8977018.0,20210118,True,False,10.007,10.0048,10.0072,10.0053,4.7152
003032.SZ,传智教育,2021-01-18 09:30:00,9.99383097,9.993830968537923,4,8190924.0,20210118,True,False,9.9832,9.9949,10.0139,-9.9874,-5.3371
002305.SZ,南国置业,2021-01-18 09:30:00,9.87124464,9.871244635193133,3,11856836.0,20210118,True,False,10.1563,9.9291,-9.0323,-9.9291,-9.8425
002263.SZ,大东南,2021-01-18 09:30:30,9.90990991,9.309309309309311,2,37582923.0,20210118,False,True,-3.8251,9.9432,-4.9096,-10.0543,-6.9486
002280.SZ,联络互动,2021-01-18 09:31:45,4.72972973,4.729729729729734,2,9094523.0,20210118,False,False,5.1613,-0.6135,-1.8519,-1.8868,5.1282
002681.SZ,奋达科技,2021-01-18 09:31:45,5.01193317,4.2959427207637155,2,4077600.0,20210118,False,False,2.2727,5.1111,-2.537,4.9892,4.9587
300906.SZ,日月明,2021-01-18 09:32:00,20.00448029,20.00448028673835,2,1032967.0,20210118,False,False,19.9925,-1.6024,1.7075,-10.928,0.6981
603500.SH,祥和实业,2021-01-18 09:32:00,9.96705107,4.448105436573304,2,1685100.0,20210118,False,False,10.0375,10.0068,-10.0248,-9.9725,-10.0076
