,股票简称,昨首停,昨收,昨开,前连板,昨封单,交易日,昨竞一,selected,1_c_chg,2_c_chg,3_c_chg,4_c_chg,5_c_chg
600392.SH,盛和资源,2021-01-22 13:25:35,8.06451613,2.6392961876832803,2,,20210122,False,False,6.445,0.2549,-2.5429,-2.9354,8.2661
002176.SZ,江特电机,2021-01-25 09:30:00,5.00782473,5.00782472613459,5,19662120.0,20210125,True,False,5.0671,-0.9929,0.1433,-5.0072,-4.9699
003035.SZ,南网能源,2021-01-25 09:30:00,10.07462687,10.074626865671641,4,283990700.0,20210125,True,False,10.1695,10.1538,10.0559,9.8985,9.9307
605005.SH,合兴股份,2021-01-25 09:30:00,9.97547016,9.975470155355673,4,7911383.0,20210125,True,False,10.0372,10.0,10.0123,-9.9944,9.9876
605228.SH,神通科技,2021-01-25 09:30:00,10.03898635,10.038986354775822,3,14240158.0,20210125,True,False,10.0089,9.9839,-10.0293,-3.4988,-3.6256
002584.SZ,西陇科学,2021-01-25 09:30:00,6.03829161,10.014727540500733,2,,20210125,True,False,-10.0,-6.0185,-5.0903,-2.9412,0.3565
605398.SH,新炬网络,2021-01-25 09:30:00,10.00335683,10.003356831151407,2,1291400.0,20210125,True,False,9.9939,10.0014,-10.0,-10.0042,-1.4012
603058.SH,永吉股份,2021-01-25 09:30:15,10.03039514,10.03039513677812,4,4399754.0,20210125,False,True,-10.0368,-10.0307,10.0114,-10.031,-9.8851
002192.SZ,融捷股份,2021-01-25 09:31:30,5.00195389,4.904259476357948,3,871350.0,20210125,False,False,-4.3543,1.537,-0.9389,0.5803,-2.0192
605018.SH,长华股份,2021-01-25 09:31:30,10.01191895,7.330154946364722,3,2759158.0,20210125,False,False,10.0217,9.9951,-9.9821,-9.995,-10.0
002645.SZ,华宏科技,2021-01-25 09:35:15,3.41013825,1.8433179723502402,2,,20210125,False,False,-7.754,0.9662,6.4115,-9.982,-0.0999
605155.SH,西大门,2021-01-25 13:35:26,10.00353482,2.50972074938141,3,545237.0,20210125,False,False,-5.8162,0.3071,-10.0,10.0151,9.9966
002145.SZ,中核钛白,2021-01-25 14:31:06,6.32352941,5.441176470588237,2,,20210125,False,False,2.9046,5.1075,5.4987,-3.2727,-3.8847
605255.SH,天普股份,2021-01-25 14:39:12,10.00505306,-0.9600808489135813,3,1696000.0,20210125,False,False,1.0565,10.0,-10.0,-10.0092,4.4388
003022.SZ,联泓新科,2021-01-25 14:39:43,10,5.603448275862071,2,1420072.0,20210125,False,False,0.3135,10.0,4.3324,-5.1055,0.4304
002176.SZ,江特电机,2021-01-26 09:30:00,5.06706408,5.067064083457524,6,1618081.0,20210126,True,False,-0.9929,0.1433,-5.0072,-4.9699,-5.0713
003035.SZ,南网能源,2021-01-26 09:30:00,10.16949153,10.169491525423723,5,250572380.0,20210126,True,False,10.1538,10.0559,9.8985,9.9307,10.084
605005.SH,合兴股份,2021-01-26 09:30:00,10.03717472,10.037174721189603,5,7978375.0,20210126,True,False,10.0,10.0123,-9.9944,9.9876,9.9831
605018.SH,长华股份,2021-01-26 09:30:00,10.02166847,10.021668472372685,4,1276800.0,20210126,True,False,9.9951,-9.9821,-9.995,-10.0,-1.7802
605228.SH,神通科技,2021-01-26 09:30:00,10.0088574,10.008857395925606,4,12040147.0,20210126,True,False,9.9839,-10.0293,-3.4988,-3.6256,9.9738
605398.SH,新炬网络,2021-01-26 09:30:00,9.99389686,9.993896856881289,3,2970197.0,20210126,True,False,10.0014,-10.0,-10.0042,-1.4012,-9.8689
002256.SZ,兆新股份,2021-01-26 09:30:00,-5.10948905,5.1094890510948785,2,,20210126,True,False,-4.6154,4.8387,5.3846,5.1095,4.8611
600421.SH,华嵘控股,2021-01-26 09:30:00,5.04731861,5.047318611987387,2,137400.0,20210126,True,False,3.1031,-2.6214,-2.2931,2.2449,4.99
002681.SZ,奋达科技,2021-01-26 09:32:45,0,2.362204724409451,2,,20210126,False,True,0.9843,-5.0682,-4.1068,4.9251,2.6531
002529.SZ,海源复材,2021-01-26 09:34:00,4.93653032,2.961918194640338,2,807565.0,20210126,False,False,4.9731,-4.9936,-4.9865,-4.1135,1.0355
605155.SH,西大门,2021-01-26 10:12:34,-5.81619537,3.7275064267352187,4,,20210126,False,False,0.3071,-10.0,10.0151,9.9966,9.9938
003035.SZ,南网能源,2021-01-27 09:30:00,10.15384615,10.153846153846157,6,369572730.0,20210127,True,False,10.0559,9.8985,9.9307,10.084,9.9237
605005.SH,合兴股份,2021-01-27 09:30:00,10,10.000000000000004,6,14899289.0,20210127,True,False,10.0123,-9.9944,9.9876,9.9831,-8.5128
605228.SH,神通科技,2021-01-27 09:30:00,9.98389694,9.983896940418681,5,11453252.0,20210127,True,False,-10.0293,-3.4988,-3.6256,9.9738,-9.6261
605398.SH,新炬网络,2021-01-27 09:30:00,10.00138715,10.001387154945197,4,2763592.0,20210127,True,False,-10.0,-10.0042,-1.4012,-9.8689,-8.0764
000408.SZ,藏格矿业,2021-01-27 09:30:00,5.05494505,5.0549450549450645,2,2462000.0,20210127,True,False,1.1506,-4.9638,-4.5702,2.8506,-0.9978
601619.SH,嘉泽新能,2021-01-27 09:30:00,10,10.000000000000004,2,29457100.0,20210127,True,False,10.0737,-10.0446,-9.9256,-7.438,-1.7857
000691.SZ,亚太实业,2021-01-27 09:30:15,10.08403361,9.747899159663866,2,,20210127,False,True,-9.9237,-10.0,-9.9812,-5.4393,-3.7611
600792.SH,云煤能源,2021-01-27 09:31:00,1.14942529,5.74712643678161,2,,20210127,False,False,-10.0,-10.101,2.5281,-5.4795,-2.029
002529.SZ,海源复材,2021-01-27 09:32:45,4.97311828,4.569892473118277,3,697150.0,20210127,False,False,-4.9936,-4.9865,-4.1135,1.0355,-4.0996
605183.SH,确成股份,2021-01-27 09:34:45,10.00526593,0.0,2,901416.0,20210127,False,False,-10.0048,-10.0,-3.6643,1.8405,1.6265
605018.SH,长华股份,2021-01-27 09:35:45,9.99507632,-0.2954209748892109,5,3673566.0,20210127,False,False,-9.9821,-9.995,-10.0,-1.7802,2.5
003035.SZ,南网能源,2021-01-28 09:30:00,10.05586592,10.055865921787705,7,356867310.0,20210128,True,False,9.8985,9.9307,10.084,9.9237,10.0694
605005.SH,合兴股份,2021-01-28 09:30:00,10.01228501,10.012285012285005,7,18086590.0,20210128,True,False,-9.9944,9.9876,9.9831,-8.5128,-9.9776
605228.SH,神通科技,2021-01-28 09:30:00,-10.02928258,10.029282576866757,6,,20210128,True,False,-3.4988,-3.6256,9.9738,-9.6261,-9.9472
600228.SH,返利科技,2021-01-28 09:30:00,5,5.00000000000001,2,15000.0,20210128,True,False,4.9689,1.8738,2.9042,-3.7629,-2.4438
600576.SH,祥源文化,2021-01-28 09:30:00,10.07751938,10.077519379844954,2,15886297.0,20210128,True,False,10.0939,10.0213,-10.0775,9.9138,-10.0
002529.SZ,海源复材,2021-01-28 09:30:15,-4.99359795,4.993597951344427,4,,20210128,False,True,-4.9865,-4.1135,1.0355,-4.0996,-3.2061
603366.SH,日出东方,2021-01-28 09:31:00,3.44827586,9.981851179673319,2,,20210128,False,False,-10.0,-7.6023,-2.5316,1.7316,10.0
002121.SZ,科陆电子,2021-01-28 09:32:00,-2.53164557,5.06329113924051,2,,20210128,False,False,-4.9351,4.918,-0.2604,-3.3943,-4.0541
603178.SH,圣龙股份,2021-01-28 09:32:00,-1.96483971,5.480868665977242,2,,20210128,False,False,-10.0211,-5.8617,-3.6115,-1.5504,1.4436
601619.SH,嘉泽新能,2021-01-28 09:40:02,10.07371007,4.422604422604415,3,23887499.0,20210128,False,False,-10.0446,-9.9256,-7.438,-1.7857,-4.5455
002331.SZ,皖通科技,2021-01-28 10:12:49,-0.66445183,-0.3322259136212672,2,,20210128,False,False,-9.9666,10.0297,9.9932,10.0061,3.7388
000408.SZ,藏格矿业,2021-01-28 11:04:09,1.15062762,0.0,3,,20210128,False,False,-4.9638,-4.5702,2.8506,-0.9978,-0.5599
601127.SH,小康股份,2021-01-28 14:08:01,10,0.0,2,613720.0,20210128,False,False,-10.0196,-9.9946,-7.6645,-1.8301,-5.992
600844.SH,丹化科技,2021-01-28 14:33:05,6.03290676,1.8281535648994613,2,,20210128,False,False,-10.0,9.9617,-1.7422,-3.0142,-5.6673
003035.SZ,南网能源,2021-01-29 09:30:00,9.89847716,9.89847715736041,8,319362060.0,20210129,True,False,9.9307,10.084,9.9237,10.0694,9.9369
600576.SH,祥源文化,2021-01-29 09:30:15,10.09389671,10.093896713615038,3,7617800.0,20210129,False,True,10.0213,-10.0775,9.9138,-10.0,-10.0218
601619.SH,嘉泽新能,2021-01-29 09:30:30,-10.04464286,6.919642857142848,4,,20210129,False,False,-9.9256,-7.438,-1.7857,-4.5455,-2.8571
600869.SH,远东股份,2021-01-29 09:32:00,-6.64893617,2.659574468085109,2,,20210129,False,False,-8.2621,0.0,1.2422,-3.681,-0.9554
601216.SH,君正集团,2021-01-29 10:33:55,9.92509363,1.8726591760299727,2,12063164.0,20210129,False,False,-2.8961,10.0,0.9569,-6.1611,-7.7441
600228.SH,返利科技,2021-01-29 13:22:22,4.9689441,0.0,3,503599.0,20210129,False,False,1.8738,2.9042,-3.7629,-2.4438,1.2024
003035.SZ,南网能源,2021-02-01 09:30:00,9.93071594,9.930715935334867,9,102511044.0,20210201,True,False,10.084,9.9237,10.0694,9.9369,6.1693
000996.SZ,中国中期,2021-02-01 09:30:00,10.01112347,10.011123470522806,2,4671398.0,20210201,True,False,-3.8423,-7.4658,10.0,-1.0331,-7.8288
003036.SZ,泰坦股份,2021-02-01 09:30:00,10.04415011,10.044150110375277,2,27315117.0,20210201,True,False,10.0301,10.0273,10.0249,10.0151,-9.9932
600576.SH,祥源文化,2021-02-01 09:30:27,10.02132196,6.823027718550093,4,5372819.0,20210201,False,True,-10.0775,9.9138,-10.0,-10.0218,-9.9274
603016.SH,新宏泰,2021-02-01 09:31:04,10.00440723,5.773468488320841,2,695000.0,20210201,False,False,10.016,-9.3227,3.6546,3.332,-1.6123
002256.SZ,兆新股份,2021-02-01 10:06:53,5.10948905,0.7299270072992544,2,4922744.0,20210201,False,False,4.8611,-5.298,4.8951,5.3333,-1.2658
002280.SZ,联络互动,2021-02-01 10:09:53,0,-1.0526315789473695,2,,20210201,False,False,-3.1579,4.8913,1.5544,-5.102,4.8387
003035.SZ,南网能源,2021-02-02 09:30:00,10.08403361,10.084033613445387,10,126353729.0,20210202,True,False,9.9237,10.0694,9.9369,6.1693,10.0
003036.SZ,泰坦股份,2021-02-02 09:30:00,10.03009027,10.030090270812437,3,8684277.0,20210202,True,False,10.0273,10.0249,10.0151,-9.9932,-3.9544
603843.SH,正平股份,2021-02-02 09:30:00,9.97624703,9.976247030878858,2,8914975.0,20210202,True,False,-9.9352,-9.8321,1.8617,-4.6997,-0.5479
605055.SH,迎丰股份,2021-02-02 09:30:00,9.96068152,9.960681520314557,2,5597641.0,20210202,True,False,10.0119,9.9675,-9.9507,-5.9081,-3.7209
002256.SZ,兆新股份,2021-02-02 09:30:45,4.86111111,4.1666666666666705,3,10457296.0,20210202,False,True,-5.298,4.8951,5.3333,-1.2658,-4.4872
002360.SZ,同德化工,2021-02-02 09:33:00,9.98877666,6.397306397306401,2,5225147.0,20210202,False,False,1.9388,10.01,-10.0091,-4.1456,2.5316
603016.SH,新宏泰,2021-02-02 09:35:30,10.01602564,2.3637820512820507,3,1743421.0,20210202,False,False,-9.3227,3.6546,3.332,-1.6123,0.0762
000890.SZ,法尔胜,2021-02-02 14:00:06,4.96277916,-0.24813895781639392,2,700398.0,20210202,False,False,4.9645,4.955,4.9356,4.908,5.0682
605155.SH,西大门,2021-02-02 14:53:52,9.9937539,2.6858213616489675,2,213450.0,20210202,False,False,-0.7666,-9.9857,-10.0127,-9.9965,0.2747
